練習問題セット,設問,生成日時,カテゴリ,正誤,正答,あなたの回答,出題内容,選択肢A,選択肢B,選択肢C,選択肢D,選択肢A ヘルプ参照先,選択肢A ヘルプ参照先URL,選択肢B ヘルプ参照先,選択肢B ヘルプ参照先URL,選択肢C ヘルプ参照先,選択肢C ヘルプ参照先URL,選択肢D ヘルプ参照先,選択肢D ヘルプ参照先URL,選択肢A テキスト参照先,選択肢B テキスト参照先,選択肢C テキスト参照先,選択肢D テキスト参照先,対応試験
1,1,2025/10/15 22:58,アプリ,誤,ABC,,"「アプリの設定」→「フォーム」タブで、「テーブル」を配置し、「数値」フィールドで設定した「単価」と「個数」を掛け算した結果を「小計」に表示している。
「個数」が未入力のときに表示される内容として、誤っているものをすべて選びなさい。","「小計」の欄に「#VALUE!」というエラーメッセージが表示される。","「小計」の欄に「#N/A!」というエラーメッセージが表示される。","「個数」の欄に「#VALUE!」というエラーメッセージが表示される。","「小計」の欄に「個数」が「0」として計算した結果が表示される。",TIPS：未入力のフィールドの扱い,https://jp.cybozu.help/k/ja/id/040505.html#autocalc_if_function_1030,TIPS：未入力のフィールドの扱い,https://jp.cybozu.help/k/ja/id/040505.html#autocalc_if_function_1030,TIPS：未入力のフィールドの扱い,https://jp.cybozu.help/k/ja/id/040505.html#autocalc_if_function_1030,TIPS：未入力のフィールドの扱い,https://jp.cybozu.help/k/ja/id/040505.html#autocalc_if_function_1030,2-4-3 計算式,2-4-3 計算式,2-4-3 計算式,2-4-3 計算式,2024年10月31日改定
1,2,2025/10/15 22:58,アプリ,誤,C,,"「アプリの設定」→「フォーム」タブで、「文字列（1行）」フィールドに、別々のフィールドに入力されている値を結合して表示したい。
設定する方法として、誤っているものを1つ選びなさい。","文字列を結合する計算式には、フィールドコードを利用する。","結合するフィールドに「ラジオボタン」フィールドを指定する。","文字列を結合する演算子には、半角の「+」を使用する。","結合するフィールドに「ドロップダウン」フィールドを指定する。",[&演算子]文字や数値の結合,https://jp.cybozu.help/k/ja/id/040511.html,[&演算子]文字や数値の結合,https://jp.cybozu.help/k/ja/id/040511.html,[&演算子]文字や数値の結合,https://jp.cybozu.help/k/ja/id/040511.html,[&演算子]文字や数値の結合,https://jp.cybozu.help/k/ja/id/040511.html,2-4-3 計算式,2-4-3 計算式,2-4-3 計算式,2-4-3 計算式,2024年10月31日改定
1,3,2025/10/15 22:58,アプリ,誤,BC,,"「アプリの設定」→「フォーム」タブで、「関連レコード一覧」フィールドの説明として、正しいものをすべて選びなさい。","表示するフィールドの横幅を変更できる。","フィールドに表示された値は、集計、自動計算の操作の対象に含まれない。
","フィールドに表示された値は、アプリ内検索の操作の対象に含まれない。","フィールドに表示された値は、ファイルの書き出し権限があれば、ファイルに書き出せる。",関連レコードを一覧表示する,https://jp.cybozu.help/k/ja/id/040550.html,関連レコードを一覧表示する,https://jp.cybozu.help/k/ja/id/040550.html,関連レコードを一覧表示する,https://jp.cybozu.help/k/ja/id/040550.html,関連レコードを一覧表示する,https://jp.cybozu.help/k/ja/id/040550.html,2-6-1 関連レコード一覧とは,2-6-1 関連レコード一覧とは,2-6-1 関連レコード一覧とは,2-6-1 関連レコード一覧とは,2024年10月31日改定
1,4,2025/10/15 22:58,アプリ,誤,ABC,,"レコードの一括削除に関する説明として、誤っているものをすべて選びなさい。","レコードを一括で削除するには、アプリの管理権限があれば良い。","レコード一覧画面で絞り込んだ結果にかかわらず、すべてのレコードを一括で削除できる。","一括で削除できるレコードの数は、一度に1,000件までである。","レコードを一括で削除するためには、「アプリの設定」→「設定」タブ→「高度な設定」で、「レコード一括削除を有効にする」を選択する必要がある。",レコードを一括で削除する,https://jp.cybozu.help/k/ja/id/040716.html,レコードを一括で削除する,https://jp.cybozu.help/k/ja/id/040716.html,レコードを一括で削除する,https://jp.cybozu.help/k/ja/id/040716.html,レコードを一括で削除する,https://jp.cybozu.help/k/ja/id/040716.html,1-4-6 レコードの一括削除,1-4-6 レコードの一括削除,1-4-6 レコードの一括削除,1-4-6 レコードの一括削除,2024年10月31日改定
1,5,2025/10/15 22:58,アプリ,誤,ABC,,"アプリを作成するうえで、誤っているものをすべて選びなさい。","「あたらしくアプリを作る」→「ほかのアプリを再利用」をクリックすると、ほかのドメインで作成したアプリを読み込むことができる。","拡張子が「.xls」のファイルを読み込んでアプリを作成できる。","アプリ管理権限を持つユーザーは、JavaScriptでカスタマイズされたアプリテンプレートファイルを読み込んで、アプリを作成できる。","アプリをテンプレート化すれば、アプリテンプレートからアプリを作成できる。",アプリを作成する方法,https://jp.cybozu.help/k/ja/id/040620.html,アプリを作成する方法,https://jp.cybozu.help/k/ja/id/040620.html,アプリを作成する方法,https://jp.cybozu.help/k/ja/id/040620.html,アプリを作成する方法,https://jp.cybozu.help/k/ja/id/040620.html,1-1-9 方法6：ほかのアプリを再利用して新しく作成する（アプリのコピー）,1-1-6 方法3：Excelファイルからアプリを作成する,1-1-8 方法5：テンプレートファイルからアプリを作成する,1-1-10 方法7：登録済みのテンプレートからアプリを作成する,2024年10月31日改定
1,6,2025/10/15 22:58,アプリ,誤,ABD,,"総務部に所属するAさんに、総務部では閲覧を許可していない「営業日報」アプリを閲覧させたい。
「営業日報」アプリの「アプリの設定」→「設定」タブ→「アクセス権」で、設定する手順として、適切でないものをすべて選びなさい。","「アクセス権」→「レコード」で、総務部にレコード閲覧権限が付与されていないことを確認し、総務部より上の行にAさんを追加しレコード閲覧権限を付与する。","「アクセス権」→「レコード」で、総務部にレコード閲覧権限が付与されていないことを確認し、総務部より下の行にAさんを追加しレコード閲覧権限を付与する。","「アクセス権」→「アプリ」で、総務部にレコード閲覧権限が付与されていないことを確認し、総務部より上の行にAさんを追加しレコード閲覧権限を付与する。","「アクセス権」→「アプリ」で、総務部にレコード閲覧権限が付与されていないことを確認し、総務部より下の行にAさんを追加しレコード閲覧権限を付与する。",アプリにアクセス権を設定する,https://jp.cybozu.help/k/ja/id/040589.html,アプリにアクセス権を設定する,https://jp.cybozu.help/k/ja/id/040589.html,アプリにアクセス権を設定する,https://jp.cybozu.help/k/ja/id/040589.html,アプリにアクセス権を設定する,https://jp.cybozu.help/k/ja/id/040589.html,3-6-3 レコードのアクセス権,3-6-3 レコードのアクセス権,3-6-2 アプリのアクセス権,3-6-2 アプリのアクセス権,2024年10月31日改定
1,7,2025/10/15 22:58,アプリ,誤,BCD,,"プロセス管理の設定についての説明で、誤っているものをすべて選びなさい。","プロセス管理では、「ステータス」「アクション」「作業者」の3つを組み合わせてプロセスを設定する。","作業者が設定されていない場合、アクションを実行するためのボタンは、レコードの作成者のみレコード詳細画面に表示される。","変更履歴からステータスや作業者を過去のバージョンに戻すことができる。","プロセス管理機能を有効にする前に登録したレコードは、レコードのステータスを変更しても、作業者の設定が反映されない。",ステータス、アクション、作業者とは,https://jp.cybozu.help/k/ja/id/040573.html,ステータス、アクション、作業者とは,https://jp.cybozu.help/k/ja/id/040573.html,レコードの変更履歴から過去のバージョンに戻す,https://jp.cybozu.help/k/ja/id/040461.html#history_whatshistory_20,プロセス管理の基本的な使いかた,https://jp.cybozu.help/k/ja/id/040575.html,3-3-2 プロセス管理の設定,3-3-2 プロセス管理の設定,3-3-2 プロセス管理の設定,3-3-2 プロセス管理の設定,2024年10月31日改定
1,8,2025/10/15 22:58,アプリ,誤,ABD,,"アプリのレコード一覧画面のショートカットキーの説明として、正しいものをすべて選びなさい。","enter：選択したレコードの詳細を表示する。","c：レコードを追加する。","d：選択したレコードを削除する。","e：選択したレコードを編集する。",ショートカットキーでkintoneを操作する方法,https://jp.cybozu.help/k/ja/id/040319.html,ショートカットキーでkintoneを操作する方法,https://jp.cybozu.help/k/ja/id/040319.html,ショートカットキーでkintoneを操作する方法,https://jp.cybozu.help/k/ja/id/040319.html,ショートカットキーでkintoneを操作する方法,https://jp.cybozu.help/k/ja/id/040319.html,1-2-2 レコードの登録,1-2-2 レコードの登録,1-2-2 レコードの登録,1-2-2 レコードの登録,2024年10月31日改定
1,9,2025/10/15 22:58,アプリ,誤,D,,"商品の売上を管理する「売上管理アプリ」で、レコード一覧画面に「AスーパーとBコンビニの注文のうち、今月売上予定のものだけ」を表示するため、次の2つの条件を同時に満たしたい。

条件：
・顧客名が「Aスーパー」か「Bコンビニ」のいずれかと等しい
・売上月が「今月」と等しい

実現する方法として、最適なものを1つ選びなさい。","絞り込み機能を拡張するため、JavaScriptを用いてカスタマイズする。","「Aスーパー」用の絞り込みの一覧と、「Bコンビニ」用の絞り込みの一覧をそれぞれ作成する。","kintone上では実現できないため、ファイルに書き出し、Excelのフィルター機能を使用する。","「次のいずれかと等しい」の条件を含む、絞り込みの一覧を1つ作成する。",複数の条件を満たすレコードだけを表示する,https://jp.cybozu.help/k/ja/id/040457.html,複数の条件を満たすレコードだけを表示する,https://jp.cybozu.help/k/ja/id/040457.html,複数の条件を満たすレコードだけを表示する,https://jp.cybozu.help/k/ja/id/040457.html,複数の条件を満たすレコードだけを表示する,https://jp.cybozu.help/k/ja/id/040457.html,1-4-1 表示するレコードの絞り込み,1-4-1 表示するレコードの絞り込み,1-4-1 表示するレコードの絞り込み,1-4-1 表示するレコードの絞り込み,2024年10月31日改定
1,10,2025/10/15 22:58,アプリ,誤,BCD,,"「アプリの設定」→「設定」タブ→「レコードのタイトル」で、レコードタイトルに指定できるフィールドタイプをすべて選びなさい。","テーブル化したフィールド","文字列（複数行）","計算","ルックアップ",レコードタイトルを設定する,https://jp.cybozu.help/k/ja/id/040604.html,レコードタイトルを設定する,https://jp.cybozu.help/k/ja/id/040604.html,レコードタイトルを設定する,https://jp.cybozu.help/k/ja/id/040604.html,レコードタイトルを設定する,https://jp.cybozu.help/k/ja/id/040604.html,3-7-3 レコードのタイトル,3-7-3 レコードのタイトル,3-7-3 レコードのタイトル,3-7-3 レコードのタイトル,2024年10月31日改定
1,11,2025/10/15 22:58,アプリ,誤,CD,,"アプリの集計機能の説明として、正しいものをすべて選びなさい。","アプリの管理者以外がレコードを集計できない。","埋め込み用タグ（HTML形式）を利用して外部サイトのページに埋め込まれたアプリのグラフや表は、cybozu.comユーザーでなくても閲覧できる。","「分類する項目」に指定した項目の値が空のレコードは、集計対象にならない。","集計結果の埋め込み用タグ（HTML形式）を取得できるのは、アプリに保存したグラフのみである。",グラフ／集計表,https://jp.cybozu.help/k/ja/id/040465.html,グラフ／集計表,https://jp.cybozu.help/k/ja/id/040465.html,グラフ／集計表,https://jp.cybozu.help/k/ja/id/040465.html,グラフ／集計表,https://jp.cybozu.help/k/ja/id/040465.html,1-5-2 一覧からのグラフの作成,1-5-5 集計結果の埋め込み用タグの取得,1-5-2 一覧からのグラフの作成,1-5-5 集計結果の埋め込み用タグの取得,2024年10月31日改定
1,12,2025/10/15 22:58,アプリ,誤,BCD,,"レコードが登録されて10日経過したら、指定したユーザーに通知を送信したい。
利用する機能として、適切でないものをすべて選びなさい。","リマインダーの条件通知","レコードの条件通知","「日付」フィールドの設定","アプリの条件通知",[リマインダーの条件通知]日時を条件にしたリマインド通知を設定する,https://jp.cybozu.help/k/ja/id/040564.html,[リマインダーの条件通知]日時を条件にしたリマインド通知を設定する,https://jp.cybozu.help/k/ja/id/040564.html,[リマインダーの条件通知]日時を条件にしたリマインド通知を設定する,https://jp.cybozu.help/k/ja/id/040564.html,[リマインダーの条件通知]日時を条件にしたリマインド通知を設定する,https://jp.cybozu.help/k/ja/id/040564.html,3-4-4 リマインダーの条件通知,3-4-3 レコードの条件通知,3-4-4 リマインダーの条件通知,3-4-2 アプリの条件通知,2024年10月31日改定
1,13,2025/10/15 22:58,アプリ,誤,AB,,"すでに運用されているアプリの説明として、正しいものをすべて選びなさい。","「アプリのアクセス権」画面で、そのアプリの管理権限を付与できる。","フィールドの設定でフィールドコードを変更した場合、すでに設定済みの計算式内で使用されているフィールドコードにおいても、自動的に同じ変更が適用される。","「アプリの設定」→「設定」タブ→「高度な設定」で、「レコードのコメント機能を有効にする」の選択を外した場合、過去に書き込んだコメントも削除される。","kintoneシステム管理者は、「アプリ管理」の「アプリの一覧」にて、自分に管理権限のあるアプリの一覧をCSV形式でダウンロードできる。",アプリにアクセス権を設定する,https://jp.cybozu.help/k/ja/id/040589.html,計算式の基本的な使いかた,https://jp.cybozu.help/k/ja/id/040509.html,レコードのコメント機能を無効にする,https://jp.cybozu.help/k/ja/id/040480.html,アプリの一覧をCSV形式でダウンロードする,https://jp.cybozu.help/k/ja/id/04014.html,3-6-2 アプリのアクセス権,2-4-3 計算式,3-7-4 高度な設定,5-3-2 アプリの管理,2024年10月31日改定
1,14,2025/10/15 22:58,アプリ,誤,C,,"フォームの説明として、正しいものを1つ選びなさい。","一度設定して公開したフォームは、あとから変更できない。","フィールドは1つのアプリに1,000個まで配置できる。","フォームを設定できるのはアプリの管理者のみである。","フォームはアプリごとに複数設定できる。",フォームの設定,https://jp.cybozu.help/k/ja/id/040494.html,フォームの設定,https://jp.cybozu.help/k/ja/id/040494.html,フォームの設定,https://jp.cybozu.help/k/ja/id/040494.html,フォームの設定,https://jp.cybozu.help/k/ja/id/040494.html,2-1-1 フォームとは,2-1-2 フォームの設定,2-1-1 フォームとは,2-1-1 フォームとは,2024年10月31日改定
1,15,2025/10/15 22:58,アプリ,誤,A,,"「組織選択」フィールドの説明として、誤っているものを1つ選びなさい。","ゲストスペース内のアプリでも、「組織選択」フィールドを使用できる。","組織名や組織コードを入力して、表示される組織を選択できる。","あらかじめ組織の選択肢を指定できる。","複数の組織を選択できる。",組織選択,https://jp.cybozu.help/k/ja/id/040523.html,組織選択,https://jp.cybozu.help/k/ja/id/040523.html,組織選択,https://jp.cybozu.help/k/ja/id/040523.html,組織選択,https://jp.cybozu.help/k/ja/id/040523.html,2-2-9 ユーザーや組織の選択,2-2-9 ユーザーや組織の選択,2-2-9 ユーザーや組織の選択,2-2-9 ユーザーや組織の選択,2024年10月31日改定
1,16,2025/10/15 22:58,アプリ,誤,AB,,"「グループ選択」フィールドの説明として、適切でないものをすべて選びなさい。","グループは、アプリの管理画面で追加できる。","グループを追加する際は、組織と関連付ける必要がある。","「グループ選択」フィールドを利用して、アクセス権や通知を組み合わせて設定できる。","グループの選択肢を指定しない場合、すべてのグループが選択対象になる。",グループ（ロール）を設定する,https://jp.cybozu.help/k/ja/id/04061.html,グループ（ロール）を設定する,https://jp.cybozu.help/k/ja/id/04061.html,グループ選択,https://jp.cybozu.help/k/ja/id/040530.html,グループ選択,https://jp.cybozu.help/k/ja/id/040530.html,5-1-5 グループ（ロール）と所属ユーザーの設定,5-1-5 グループ（ロール）と所属ユーザーの設定,3-6-4 フィールドのアクセス権,2-2-9 ユーザーや組織の選択,2024年10月31日改定
1,17,2025/10/15 22:58,アプリ,誤,D,,"アプリの高度な設定の説明として、誤っているものを1つ選びなさい。","数値の有効桁数と丸めかたを設定変更すると、次にレコードを更新したときに、数値フィールドと計算フィールドの値が、設定に合わせて変更される。","「レコードのコメント機能を有効にする」のチェックを外しても、過去に書き込んだコメントはデータとして保持される。","四半期の開始月は、指定できる。","レコード一括削除機能は、初期設定で有効である。",高度な設定,https://jp.cybozu.help/k/ja/id/040477.html,高度な設定,https://jp.cybozu.help/k/ja/id/040477.html,高度な設定,https://jp.cybozu.help/k/ja/id/040477.html,高度な設定,https://jp.cybozu.help/k/ja/id/040477.html,3-7-4 高度な設定,3-7-4 高度な設定,3-7-4 高度な設定,3-7-4 高度な設定,2024年10月31日改定
1,18,2025/10/15 22:58,アプリ,誤,C,,"フィールドコードの説明として、正しいものを1つ選びなさい。","全角記号のうち、フィールドコードとして使用できるのは「＿（アンダースコア）」のみである。","フィールドコードにはすべての英単語を使用することができる。","数字で始まるフィールドコードは指定できない。","空の状態でも保存できる。",フィールドコードとは,https://jp.cybozu.help/k/ja/id/040504.html,フィールドコードとは,https://jp.cybozu.help/k/ja/id/040504.html,フィールドコードとは,https://jp.cybozu.help/k/ja/id/040504.html,フィールドコードとは,https://jp.cybozu.help/k/ja/id/040504.html,2-4-3 計算式,2-4-3 計算式,2-4-3 計算式,2-4-3 計算式,2024年10月31日改定
1,19,2025/10/15 22:58,アプリ,誤,AD,,"CSVファイルからアプリを作成する際の説明として、正しいものをすべて選びなさい。","数値を読み込む場合、「,（桁区切り記号）」、「\（円記号）などの通貨記号」は使用できない。","最大100MB、500列、1万行までのCSVファイルを読み込むことができる。","日本語と英数字以外の文字が含まれている場合、文字コードに「JIS（ジス）コード」を指定してファイルを保存する必要がある。","「ユーザー選択」フィールドとして読み込む場合、ログイン名を入力する。",CSVファイルからアプリを作成する,https://jp.cybozu.help/k/ja/id/040624.html,CSVファイルからアプリを作成する,https://jp.cybozu.help/k/ja/id/040624.html,CSVファイルからアプリを作成する,https://jp.cybozu.help/k/ja/id/040624.html,CSVファイルからアプリを作成する,https://jp.cybozu.help/k/ja/id/040624.html,1-1-7 方法4：CSVファイルからアプリを作成する,1-1-7 方法4：CSVファイルからアプリを作成する,1-1-7 方法4：CSVファイルからアプリを作成する,1-1-7 方法4：CSVファイルからアプリを作成する,2024年10月31日改定
1,20,2025/10/15 22:58,アプリ,誤,C,,"アプリのレコード一覧画面から作成できるグラフの種類として誤っているものを1つ選びなさい。","曲線面グラフ","折れ線グラフ","レーダーチャート","曲線グラフ",グラフの種類と使い分け,https://jp.cybozu.help/k/ja/id/040581.html,グラフの種類と使い分け,https://jp.cybozu.help/k/ja/id/040581.html,グラフの種類と使い分け,https://jp.cybozu.help/k/ja/id/040581.html,グラフの種類と使い分け,https://jp.cybozu.help/k/ja/id/040581.html,1-5-2 一覧からのグラフの作成,1-5-2 一覧からのグラフの作成,1-5-2 一覧からのグラフの作成,1-5-2 一覧からのグラフの作成,2024年10月31日改定
